시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,춘천시,오월유원지,강원도 춘천시 사북면 지암리 2-16,37.97976,127.64234,2022-07-26
강원도,춘천시,오월막국수 인근,강원도 춘천시 서면 오월리 163-2,37.983027,127.64427,2022-07-26
강원도,춘천시,덕두원유원지,강원도 춘천시 서면 덕두원리 165-6,37.852497,127.669464,2022-07-26
강원도,춘천시,팔미천 팔미교,강원도 춘천시 신동면 팔미리 461-14,37.823149,127.692313,2022-07-26
강원도,춘천시,대평교,강원도 춘천시 신동면 증리 1043-72,37.806659,127.709802,2022-07-26
강원도,춘천시,삼포유원지,강원도 춘천시 신동면 증리 131-4,37.798029,127.714219,2022-07-26
강원도,춘천시,강촌유원지,강원도 춘천시 남산면 강촌리 224-2,37.81545,127.633942,2022-07-26
강원도,춘천시,삽당골,강원도 춘천시 남산면 산수리 411,37.695352,127.64967,2022-07-26
강원도,춘천시,반곡교,강원도 춘천시 남산면 산수리 346-1,37.697189,127.670935,2022-07-26
강원도,춘천시,두미교,강원도 춘천시 남산면 산수리 455,37.682449,127.649685,2022-07-26
강원도,춘천시,한덕교,강원도 춘천시 남면 한덕리 603-2,37.676761,127.611223,2022-07-26
강원도,원주시,취병유원지,원주시 건등리 1077-1,,,2022-07-22
강원도,원주시,산현교 A,원주시 산현리 630,,,2022-07-22
강원도,원주시,산현교 B,원주시 산현리 655-1,,,2022-07-22
강원도,원주시,칠봉교,원주시 산현리 520,,,2022-07-22
강원도,원주시,봉바위돌집,원주시 용곡리 546-1,,,2022-07-22
강원도,원주시,상용곡교,원주시 용곡리 437-5,,,2022-07-22
강원도,원주시,물가애농원,원주시 용곡리 산20번지,,,2022-07-22
강원도,원주시,원대교,원주시판대리 675,,,2022-07-22
강원도,원주시,삼봉쉼터 빙벽,원주시 판대리 193,,,2022-07-22
강원도,원주시,삼봉쉼터,원주시 판대리 191-3,,,2022-07-22
강원도,원주시,판대교 상,원주시 판대리 산 89-3,,,2022-07-22
강원도,원주시,판대교 하,원주시 판대리 271-10,,,2022-07-22
강원도,원주시,되냉기들 상,원주시 판대리 산112-3,,,2022-07-22
강원도,원주시,되냉기들 하,원주시 판대리 산109-5,,,2022-07-22
강원도,원주시,할머니농박,원주시 간현리 산 9-3,,,2022-07-22
강원도,원주시,섬강교,원주시 흥호리 650-5,,,2022-07-22
강원도,원주시,법천소공원,원주시 법천리 1592,,,2022-07-22
강원도,원주시,섬안이유원지 A,원주시 송계리 316,,,2022-07-22
강원도,원주시,섬안이유원지 B,원주시 송계리 335-2,,,2022-07-22
강원도,원주시,섬안이유원지 C,원주시 송계리 339-9,,,2022-07-22
강원도,원주시,당숲 유원지,원주시 성남리 216-4,,,2022-07-22
강원도,원주시,간현관광지 A,원주시 간현리 산 120,,,2022-07-22
강원도,원주시,간현관광지 B,원주시 간현리 산 120,,,2022-07-22
강원도,원주시,간현관광지 C,원주시 간현리 산 120,,,2022-07-22
강원도,원주시,간현관광지 D,원주시 간현리 산 120,,,2022-07-22
강원도,원주시,간현관광지 E,원주시 간현리 산116-1,,,2022-07-22
강원도,동해시,전천자전거1길 도로상,강원도 동해시 전천자전거1길,37.482932,129.101336,2022-07-21
강원도,동해시,전천자전거1길 도로상,강원도 동해시 전천자전거1길,37.482977,129.108668,2022-07-21
강원도,동해시,전천자전거1길 도로상,강원도 동해시 전천자전거1길,37.482925,129.109722,2022-07-21
강원도,동해시,전천자전거2길 도로상,강원도 동해시 전천자전거2길,37.481845,129.110463,2022-07-21
강원도,동해시,전천자전거2길 도로상,강원도 동해시 전천자전거2길,37.481851,129.108248,2022-07-21
강원도,동해시,전천자전거2길 도로상,강원도 동해시 전천자전거2길,37.481591,129.106705,2022-07-21
강원도,동해시,,강원도 동해시 이로동 836,37.5062001,129.0107601,2022-07-21
강원도,동해시,도로 옆 계곡,강원도 동해시 비천동 산 383,37.508004,129.046423,2022-07-21
강원도,동해시,도로 옆 계곡,강원도 동해시 비천동 산 383,37.508005,129.046424,2022-07-21
강원도,동해시,,강원도 동해시 비천동 산 385,37.511039,129.045883,2022-07-21
강원도,동해시,,강원도 동해시 비천동 산 386-1,37.513703,129.045939,2022-07-21
강원도,동해시,무릉 건강숲 건물 인근,강원도 동해시 삼화동 180-14,37.466169,129.033157,2022-07-21
강원도,동해시,무릉 건강숲 건물 인근,강원도 동해시 삼화동 180-14,37.4664501,129.033729,2022-07-21
강원도,동해시,삼화사 인근,강원도 동해시 삼화동 산 171-3,37.127568,128.9584501,2022-07-21
강원도,동해시,삼화사 인근,강원도 동해시 삼화동 산 171-3,37.463443,129.016277,2022-07-21
강원도,동해시,용추폭포 등지고 우,강원도 동해시 삼화동 용추폭포,37.455041,129.002831,2022-07-21
강원도,동해시,용추폭포 등지고 좌,강원도 동해시 삼화동 용추폭포,37.455042,129.002832,2022-07-21
